id,nombre,apellido,email,sexo,dimensions,requirements,latitude,longitude
1,Carlita,Karczinski,ckarczinski0@irs.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":5}]",35.6803,51.0193
2,Gerik,Cars,gcars1@flavors.me,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":2}]",52.85768,14.39293
3,Ossie,Sheryn,osheryn2@booking.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":2}]",10.2493969,106.3787583
4,Tobe,Castagneri,tcastagneri3@indiegogo.com,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":7}]",59.1499143,9.6586061
5,Venus,Jorgesen,vjorgesen4@privacy.gov.au,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":8},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":5}]",35.585575,119.761775
6,Gloriana,Paulot,gpaulot5@ameblo.jp,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":2}]",19.4449916,-99.1082647
7,Wells,Larvin,wlarvin6@posterous.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":3}]",48.6490636,24.3699935
8,Nico,Ranstead,nranstead7@mlb.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":4}]",48.8834042,2.333434
9,Edan,Kamall,ekamall8@mozilla.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":9},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":1}]",22.9702067,-82.3858672
10,Morten,Stanford,mstanford9@1688.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":6}]",40.807399,44.4970268
11,Raynor,Norfolk,rnorfolka@com.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":1}]",19.2558715,-99.0165468
12,Aurel,Greenier,agreenierb@engadget.com,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":5}]",35.4209352,-97.6656625
